scale_name,root,column_c,column_d,column_e,column_f
Sus4Pentatonic,false,2,5,7,10
M3MjPentatonic,false,3,5,8,10
Chinese6Pentatonic,false,4,6,7,11
Han-kumoi,false,2,5,7,8
In,false,1,5,7,8
Yo,false,2,5,7,9
Indonesian2Pentatonic,false,1,6,7,8
Indonesian3Pentatonic,false,4,5,7,11
NoName,false,1,4,7,9
AlteredPentatonic,false,1,5,7,9
BalinesePentachord1,false,1,4,6,7
"Blues#V",false,3,5,6,11
BluesPentacluster1,false,1,2,3,6
BluesPentaCluster3,false,1,2,3,5
BluesPentaCluster5,false,1,2,3,
BluesPentaCluster6,false,1,2,3,5
"Blues#Vallflats",false,3,5,6,11
Center-ClusterPentaMirror,false,3,4,5,8
Chaio1,false,2,5,8,10
ChromaticPentaMirror,false,1,2,3,4
DominantPentatonic,false,2,4,7,10
Slendro,false,2,5,7,9
HalfDiminishedplusb8,false,3,6,10,11
JapanesePentachord1,false,1,3,6,7
Kokin-Joshi,false,1,5,7,10
Kung,false,2,4,6,9
LocrianPentaMirror,false,1,3,5,6
LydianPentachord,false,2,4,6,7
MajorPentachord,false,2,4,5,7
Minor6thAdded,false,3,5,7,9
MinorPentachordChadG,false,2,3,5,7
MixolydianPentatonic1,false,4,5,7,10
OrientalPentacluster1,false,1,2,5,6
OrientalRagaGuhamano,false,2,5,9,10
RomanianBacovia1,false,4,5,8,11
SpanishPentacluster1,false,1,3,4,5
MajorPentatonic,false,2,4,7,9
MinorPentatonic,false,3,5,7,10
Pelog,false,1,3,7,8
Iwato,false,1,5,6,10
KumoiScale,false,2,3,7,9
Hirajoshi,false,2,3,7,8
Sus4,false,2,5,7,9
"Augmented,Messiaen",false,3,4,7,8
BluesDorianHexatonic1,false,2,3,4,7
BluesDorianHexatonic2,false,1,3,4,7
BluesMinorallflats,false,3,5,6,7
BluesMinorMaj7,false,3,5,6,7
"ChromaticHexaMirrorall#",false,1,2,3,4
ChromaticHexaMirrorallb,false,1,2,3,4
Double-PhrygianHexatonic,false,1,3,5,6
EskimoHexatonic1,false,2,4,6,8
EskimoHexatonic2,false,2,4,6,8
GenusSecundum,false,4,5,7,9
Hawaiian,false,2,3,7,9
HonchoshiPlagalForm,false,1,3,5,6
"Lydian#2Hexatonic",false,3,4,7,9
Lydianb3Hexatonic,false,3,4,7,9
LydianHexatonic,false,2,4,7,9
MajorBebopHexatonic,false,2,4,7,8
MajorBluesalternate,false,2,3,4,7
MinorHexatonic,false,2,3,5,7
PhrygianHexatonic,false,3,5,7,8
Prometheus2,false,2,4,6,9
PrometheusNeapolitan2,false,1,4,6,9
PyramidHexatonic,false,2,3,5,6
Ritsu,false,1,3,5,8
ScottishHexatonicArezzo,false,2,4,5,7
TakemitsuTreeLineMod1,false,2,3,6,8
TakemitsuTreeLineMod2,false,2,3,6,8
Prometheus,false,2,4,6,8
PrometheusNeopolitan,false,1,4,6,8
Whole-tone,false,2,4,6,8
Blues,false,3,5,6,7
SixtoneMode1,false,3,4,7,8
SixtoneMode2,false,1,4,5,8
IonianAugmented,false,2,4,5,8
"Dorian#4",false,2,3,6,7
Mixolydianb9b13,false,1,4,5,7
"Lydian#9",false,3,4,6,7
AltDominantbb7,false,1,3,4,5
Dorianb2,false,1,3,5,7
LydianAug,false,2,4,6,8
Lydianb7,false,2,4,6,7
Mixolydianb13,false,2,4,5,7
LocrianNat9,false,2,3,5,6
AltDominant,false,1,3,4,6
LocrianNat6,false,1,3,5,6
HungarianFolk,false,1,4,5,7
Purvi,false,1,4,6,7
